model,fold,accuracy,precision,recall,f1_score,roc_auc,best_params
KNN,1,0.603,0.6093100581878637,0.6934720908230843,0.6486725663716815,0.6419547108555699,{'model__n_neighbors': 11}
KNN,2,0.5985,0.6,0.7209082308420057,0.6549204984959175,0.6336186269188594,{'model__n_neighbors': 11}
KNN,3,0.5985,0.6027508090614887,0.7048249763481551,0.6498037505451374,0.6383816018243272,{'model__n_neighbors': 11}
KNN,4,0.6235,0.6244864420706656,0.7196969696969697,0.6687197536295645,0.669803002214946,{'model__n_neighbors': 11}
KNN,5,0.62,0.6221122112211221,0.7140151515151515,0.6649029982363316,0.6697794282871085,{'model__n_neighbors': 11}
SVM,1,0.681,0.6677341873498799,0.7890255439924314,0.7233304423243712,0.7273331052589863,"{'model__C': 10, 'model__kernel': 'rbf'}"
SVM,2,0.6505,0.6416139240506329,0.7672658467360454,0.6988367083153812,0.7130878223347656,"{'model__C': 10, 'model__kernel': 'rbf'}"
SVM,3,0.651,0.6430278884462152,0.7634815515610217,0.6980968858131488,0.7146047508354645,"{'model__C': 10, 'model__kernel': 'rbf'}"
SVM,4,0.662,0.6491365777080063,0.7831439393939394,0.7098712446351931,0.7142207964175654,"{'model__C': 10, 'model__kernel': 'rbf'}"
SVM,5,0.651,0.6457654723127035,0.7509469696969697,0.6943957968476357,0.6966075613122753,"{'model__C': 10, 'model__kernel': 'rbf'}"
MLP,1,0.6905,0.684654300168634,0.7682119205298014,0.7240303165403478,0.756679451538047,"{'model__activation': 'relu', 'model__hidden_layer_sizes': (100,)}"
MLP,2,0.6715,0.6945525291828794,0.6754966887417219,0.6848920863309352,0.741376733005535,"{'model__activation': 'relu', 'model__hidden_layer_sizes': (100,)}"
MLP,3,0.6895,0.6847457627118644,0.7644276253547777,0.7223960661600357,0.754597687887948,"{'model__activation': 'relu', 'model__hidden_layer_sizes': (100,)}"
MLP,4,0.683,0.6815834767641996,0.75,0.7141568981064021,0.751268979519774,"{'model__activation': 'relu', 'model__hidden_layer_sizes': (100,)}"
MLP,5,0.6675,0.6811862835959221,0.6960227272727273,0.6885245901639344,0.7387998764124293,"{'model__activation': 'relu', 'model__hidden_layer_sizes': (100,)}"
XGBoost,1,0.725,0.7332106715731371,0.7540208136234626,0.7434701492537313,0.7959500416854359,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200}"
XGBoost,2,0.692,0.7024793388429752,0.7237464522232734,0.7129543336439889,0.770515404549381,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}"
XGBoost,3,0.702,0.7205741626794259,0.7123935666982024,0.7164605137963844,0.7856525852494756,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}"
XGBoost,4,0.71,0.7262357414448669,0.7234848484848485,0.7248576850094877,0.7719939730996405,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200}"
XGBoost,5,0.698,0.711214953271028,0.7206439393939394,0.715898400752587,0.7693215925141242,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200}"
